"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000792","heterochromatin","76/2774","222/22757",8.20816868730843e-18,5.44201583968549e-15,4.65705570785184e-15,"evm.model.ctg2019.75/evm.model.ctg2120.137/evm.model.ctg2120.34/evm.model.ctg2120.39/evm.model.ctg2120.42/evm.model.ctg2120.48/evm.model.ctg2120.62/evm.model.ctg2120.64/evm.model.ctg2120.74/evm.model.ctg2245.16/evm.model.ctg2245.23/evm.model.ctg2520.14/evm.model.ctg2679.12/evm.model.ctg2844.6/evm.model.ctg2857.24/evm.model.ctg2857.32/evm.model.ctg3142.23/evm.model.ctg3148.4/evm.model.ctg3161.1/evm.model.ctg3161.10/evm.model.ctg3161.19/evm.model.ctg3169.2/evm.model.ctg3214.2/evm.model.ctg3225.21/evm.model.ctg3287.18/evm.model.ctg3287.24/evm.model.ctg3560.24/evm.model.ctg3560.32/evm.model.ctg3560.41/evm.model.ctg3586.4/evm.model.ctg3587.87/evm.model.ctg3704.10/evm.model.ctg3978.14/evm.model.ctg3978.2/evm.model.ctg3978.20/evm.model.ctg3978.31/evm.model.ctg4129.10/evm.model.ctg4129.12/evm.model.ctg4129.30/evm.model.ctg439.4/evm.model.ctg439.9/evm.model.ctg485.3/evm.model.ctg751.3/evm.model.ctg751.7/evm.model.ctg94.15/evm.model.ctg940.3/evm.model.ctg2686.18/evm.model.ctg3656.126/evm.model.ctg655.3/evm.model.ctg1355.29/evm.model.ctg3226.3/evm.model.ctg3226.4/evm.model.ctg3646.25/evm.model.ctg585.4/evm.model.ctg1628.1/evm.model.ctg2597.3/evm.model.ctg3209.23/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg3644.1/evm.model.ctg3779.151/evm.model.ctg2755.1/evm.model.ctg3072.6/evm.model.ctg3311.1/evm.model.ctg94.10/evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80/evm.model.ctg2857.43/evm.model.ctg4129.6/evm.model.ctg2492.6/evm.model.ctg629.176/evm.model.ctg613.11/evm.model.ctg1312.1/evm.model.ctg3430.13",76
"GO:0000791","euchromatin","55/2774","147/22757",3.66581189390843e-15,1.21521664283064e-12,1.03993295306139e-12,"evm.model.ctg2019.75/evm.model.ctg2120.137/evm.model.ctg2120.39/evm.model.ctg2120.48/evm.model.ctg2120.62/evm.model.ctg2120.64/evm.model.ctg2120.74/evm.model.ctg2245.16/evm.model.ctg2245.23/evm.model.ctg2520.14/evm.model.ctg2679.12/evm.model.ctg2844.6/evm.model.ctg2857.24/evm.model.ctg3142.23/evm.model.ctg3148.4/evm.model.ctg3161.1/evm.model.ctg3161.10/evm.model.ctg3161.19/evm.model.ctg3169.2/evm.model.ctg3214.2/evm.model.ctg3225.21/evm.model.ctg3287.18/evm.model.ctg3287.24/evm.model.ctg3560.24/evm.model.ctg3560.32/evm.model.ctg3560.41/evm.model.ctg3586.4/evm.model.ctg3587.87/evm.model.ctg3704.10/evm.model.ctg3978.14/evm.model.ctg3978.2/evm.model.ctg3978.20/evm.model.ctg3978.31/evm.model.ctg4129.10/evm.model.ctg4129.12/evm.model.ctg4129.30/evm.model.ctg439.4/evm.model.ctg439.9/evm.model.ctg485.3/evm.model.ctg751.3/evm.model.ctg751.7/evm.model.ctg94.15/evm.model.ctg940.3/evm.model.ctg2584.3/evm.model.ctg2584.4/evm.model.ctg2748.258/evm.model.ctg3478.27/evm.model.ctg94.10/evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80/evm.model.ctg2857.43/evm.model.ctg3978.27/evm.model.ctg4129.6/evm.model.ctg613.11",55
"GO:0097268","cytoophidium","14/2774","18/22757",2.94049745712172e-10,6.49849938023901e-08,5.5611513311881e-08,"evm.model.ctg2471.1/evm.model.ctg2707.2/evm.model.ctg2789.4/evm.model.ctg2862.7/evm.model.ctg301.5/evm.model.ctg3058.15/evm.model.ctg3401.12/evm.model.ctg3832.8/evm.model.ctg3871.7/evm.model.ctg3935.4/evm.model.ctg4024.32/evm.model.ctg4065.58/evm.model.ctg526.3/evm.model.ctg717.1",14
"GO:0000786","nucleosome","60/2774","220/22757",9.70595637787766e-10,1.60876226963322e-07,1.37671328623054e-07,"evm.model.ctg2533.59/evm.model.ctg3335.24/evm.model.ctg3878.19/evm.model.ctg2019.75/evm.model.ctg2120.137/evm.model.ctg2120.39/evm.model.ctg2120.48/evm.model.ctg2120.62/evm.model.ctg2120.64/evm.model.ctg2120.74/evm.model.ctg2245.16/evm.model.ctg2245.23/evm.model.ctg2520.14/evm.model.ctg2679.12/evm.model.ctg2844.6/evm.model.ctg2857.24/evm.model.ctg2857.32/evm.model.ctg3142.23/evm.model.ctg3148.4/evm.model.ctg3161.1/evm.model.ctg3161.10/evm.model.ctg3161.19/evm.model.ctg3169.2/evm.model.ctg3214.2/evm.model.ctg3225.21/evm.model.ctg3287.18/evm.model.ctg3287.24/evm.model.ctg3560.24/evm.model.ctg3560.32/evm.model.ctg3560.41/evm.model.ctg3586.4/evm.model.ctg3587.87/evm.model.ctg3704.10/evm.model.ctg3978.14/evm.model.ctg3978.2/evm.model.ctg3978.20/evm.model.ctg3978.31/evm.model.ctg4129.10/evm.model.ctg4129.12/evm.model.ctg4129.30/evm.model.ctg439.4/evm.model.ctg439.9/evm.model.ctg485.3/evm.model.ctg751.3/evm.model.ctg751.7/evm.model.ctg94.15/evm.model.ctg940.3/evm.model.ctg1628.1/evm.model.ctg2597.3/evm.model.ctg3209.23/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg2755.1/evm.model.ctg3072.6/evm.model.ctg3311.1/evm.model.ctg94.10/evm.model.ctg2857.43/evm.model.ctg4129.6/evm.model.ctg3560.38",60
"GO:0044815","DNA packaging complex","70/2774","287/22757",7.517074499275e-09,9.96764078603865e-07,8.52990137917732e-07,"evm.model.ctg2533.59/evm.model.ctg3335.24/evm.model.ctg3878.19/evm.model.ctg2019.75/evm.model.ctg2120.137/evm.model.ctg2120.39/evm.model.ctg2120.48/evm.model.ctg2120.62/evm.model.ctg2120.64/evm.model.ctg2120.74/evm.model.ctg2245.16/evm.model.ctg2245.23/evm.model.ctg2520.14/evm.model.ctg2679.12/evm.model.ctg2844.6/evm.model.ctg2857.24/evm.model.ctg2857.32/evm.model.ctg3142.23/evm.model.ctg3148.4/evm.model.ctg3161.1/evm.model.ctg3161.10/evm.model.ctg3161.19/evm.model.ctg3169.2/evm.model.ctg3214.2/evm.model.ctg3225.21/evm.model.ctg3287.18/evm.model.ctg3287.24/evm.model.ctg3560.24/evm.model.ctg3560.32/evm.model.ctg3560.41/evm.model.ctg3586.4/evm.model.ctg3587.87/evm.model.ctg3704.10/evm.model.ctg3978.14/evm.model.ctg3978.2/evm.model.ctg3978.20/evm.model.ctg3978.31/evm.model.ctg4129.10/evm.model.ctg4129.12/evm.model.ctg4129.30/evm.model.ctg439.4/evm.model.ctg439.9/evm.model.ctg485.3/evm.model.ctg751.3/evm.model.ctg751.7/evm.model.ctg94.15/evm.model.ctg940.3/evm.model.ctg175.4/evm.model.ctg175.5/evm.model.ctg3899.36/evm.model.ctg3899.37/evm.model.ctg3899.38/evm.model.ctg1628.1/evm.model.ctg2597.3/evm.model.ctg3209.23/evm.model.ctg2704.123/evm.model.ctg3654.5/evm.model.ctg3656.88/evm.model.ctg2855.8/evm.model.ctg973.7/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg2755.1/evm.model.ctg3072.6/evm.model.ctg3311.1/evm.model.ctg94.10/evm.model.ctg2857.43/evm.model.ctg4129.6/evm.model.ctg3560.38",70
"GO:0030992","intraciliary transport particle B","19/2774","39/22757",2.45347068148336e-08,2.71108510303911e-06,2.3200363110869e-06,"evm.model.ctg3136.2/evm.model.ctg3136.4/evm.model.ctg3175.1/evm.model.ctg3224.21/evm.model.ctg3224.23/evm.model.ctg3672.7/evm.model.ctg3672.9/evm.model.ctg3963.2/evm.model.ctg3963.4/evm.model.ctg3963.6/evm.model.ctg2508.4/evm.model.ctg3200.3/evm.model.ctg3456.9/evm.model.ctg2963.3/evm.model.ctg3850.3/evm.model.ctg3909.16/evm.model.ctg814.7/evm.model.ctg2813.9/evm.model.ctg2816.30",19
"GO:0032002","interleukin-28 receptor complex","11/2774","15/22757",7.390388357529e-08,6.99975354434533e-06,5.9901042476814e-06,"evm.model.ctg2972.34/evm.model.ctg2972.35/evm.model.ctg2978.11/evm.model.ctg2990.12/evm.model.ctg2990.13/evm.model.ctg2990.14/evm.model.ctg3913.7/evm.model.ctg3913.8/evm.model.ctg3913.9/evm.model.ctg737.1/evm.model.ctg737.2",11
"GO:0043203","axon hillock","13/2774","21/22757",1.00261924292346e-07,8.30920697572815e-06,7.11068120968084e-06,"evm.model.ctg1633.11/evm.model.ctg3202.9/evm.model.ctg3462.26/evm.model.ctg3462.28/evm.model.ctg3932.3/evm.model.ctg4008.3/evm.model.ctg3998.40/evm.model.ctg3872.4/evm.model.ctg3598.7/evm.model.ctg3600.346/evm.model.ctg2683.35/evm.model.ctg2847.1/evm.model.ctg3299.4",13
"GO:0035577","azurophil granule membrane","32/2774","101/22757",1.9466714374256e-07,1.43404795890353e-05,1.22719988862269e-05,"evm.model.ctg2775.8/evm.model.ctg2775.9/evm.model.ctg2778.4/evm.model.ctg2778.5/evm.model.ctg2778.6/evm.model.ctg2778.9/evm.model.ctg2779.1/evm.model.ctg2779.2/evm.model.ctg2779.5/evm.model.ctg2804.1/evm.model.ctg319.1/evm.model.ctg3684.16/evm.model.ctg3684.18/evm.model.ctg3684.19/evm.model.ctg3684.21/evm.model.ctg3684.22/evm.model.ctg3684.23/evm.model.ctg3684.24/evm.model.ctg3684.25/evm.model.ctg3684.26/evm.model.ctg1575.2/evm.model.ctg2932.8/evm.model.ctg3886.43/evm.model.ctg3891.44/evm.model.ctg4101.10/evm.model.ctg2993.30/evm.model.ctg2993.31/evm.model.ctg3031.3/evm.model.ctg3042.5/evm.model.ctg3401.65/evm.model.ctg2583.57/evm.model.ctg2583.58",32
"GO:0015934","large ribosomal subunit","43/2774","159/22757",2.82398167124298e-07,1.87229984803409e-05,1.6022380218947e-05,"evm.model.ctg1605.7/evm.model.ctg2702.6/evm.model.ctg3273.6/evm.model.ctg65.19/evm.model.ctg172.2/evm.model.ctg2573.3/evm.model.ctg3172.11/evm.model.ctg3650.44/evm.model.ctg4111.2/evm.model.ctg3843.3/evm.model.ctg4050.26/evm.model.ctg4051.4/evm.model.ctg270.8/evm.model.ctg671.2/evm.model.ctg2943.18/evm.model.ctg4059.5/evm.model.ctg643.16/evm.model.ctg3128.7/evm.model.ctg3947.6/evm.model.ctg3982.8/evm.model.ctg2899.2/evm.model.ctg324.8/evm.model.ctg3645.2/evm.model.ctg3208.4/evm.model.ctg3251.4/evm.model.ctg3671.12/evm.model.ctg2748.105/evm.model.ctg3455.42/evm.model.ctg457.14/evm.model.ctg3077.7/evm.model.ctg3448.326/evm.model.ctg156.1/evm.model.ctg2685.1/evm.model.ctg3802.25/evm.model.ctg2332.1/evm.model.ctg3273.18/evm.model.ctg2683.104/evm.model.ctg3360.14/evm.model.ctg2748.202/evm.model.ctg3455.135/evm.model.ctg65.9/evm.model.ctg2975.5/evm.model.ctg3414.13",43
