"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002370","natural killer cell cytokine production","5/92","33/22777",2.09058489477321e-07,8.04875184487685e-05,4.45991444218285e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0002727","regulation of natural killer cell cytokine production","5/92","33/22777",2.09058489477321e-07,8.04875184487685e-05,4.45991444218285e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0002729","positive regulation of natural killer cell cytokine production","5/92","33/22777",2.09058489477321e-07,8.04875184487685e-05,4.45991444218285e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0032831","positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","5/92","38/22777",4.35155713069755e-07,0.000125651212148892,6.96249140911609e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0032829","regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","5/92","43/22777",8.21343857500554e-07,0.00013569066750574,7.51879023408432e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","5/92","46/22777",1.158494194144e-06,0.00013569066750574,7.51879023408432e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0045586","regulation of gamma-delta T cell differentiation","5/92","46/22777",1.158494194144e-06,0.00013569066750574,7.51879023408432e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0045588","positive regulation of gamma-delta T cell differentiation","5/92","46/22777",1.158494194144e-06,0.00013569066750574,7.51879023408432e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0002925","positive regulation of humoral immune response mediated by circulating immunoglobulin","5/92","47/22777",1.29229207148324e-06,0.00013569066750574,7.51879023408432e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0046643","regulation of gamma-delta T cell activation","5/92","47/22777",1.29229207148324e-06,0.00013569066750574,7.51879023408432e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0046645","positive regulation of gamma-delta T cell activation","5/92","47/22777",1.29229207148324e-06,0.00013569066750574,7.51879023408432e-05,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0045591","positive regulation of regulatory T cell differentiation","5/92","51/22777",1.95398169172943e-06,0.000188070737828958,0.000104212356892237,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0002923","regulation of humoral immune response mediated by circulating immunoglobulin","5/92","52/22777",2.15498683204836e-06,0.000191462291616604,0.000106091659423919,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0002718","regulation of cytokine production involved in immune response","7/92","148/22777",2.3421028685216e-06,0.000193223486653032,0.000107067559703845,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2/evm.model.ctg1606.76/evm.model.ctg1606.77",7
"GO:0045019","negative regulation of nitric oxide biosynthetic process","5/92","56/22777",3.12725172731192e-06,0.000207721656914097,0.000115101177857162,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:1904406","negative regulation of nitric oxide metabolic process","5/92","56/22777",3.12725172731192e-06,0.000207721656914097,0.000115101177857162,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0002717","positive regulation of natural killer cell mediated immunity","5/92","57/22777",3.41706621763449e-06,0.000207721656914097,0.000115101177857162,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0042492","gamma-delta T cell differentiation","5/92","57/22777",3.41706621763449e-06,0.000207721656914097,0.000115101177857162,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0045954","positive regulation of natural killer cell mediated cytotoxicity","5/92","57/22777",3.41706621763449e-06,0.000207721656914097,0.000115101177857162,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0043011","myeloid dendritic cell differentiation","5/92","60/22777",4.41478883281896e-06,0.000254954055095295,0.000141273242650207,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0046629","gamma-delta T cell activation","5/92","63/22777",5.62781038991369e-06,0.000309529571445253,0.000171514221406893,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0043327","chemotaxis to cAMP","3/92","10/22777",7.49724165751474e-06,0.000346372564577181,0.000191929386432377,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0070781","response to biotin","3/92","10/22777",7.49724165751474e-06,0.000346372564577181,0.000191929386432377,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:1903519","regulation of mammary gland involution","3/92","10/22777",7.49724165751474e-06,0.000346372564577181,0.000191929386432377,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:1903521","positive regulation of mammary gland involution","3/92","10/22777",7.49724165751474e-06,0.000346372564577181,0.000191929386432377,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0035435","phosphate ion transmembrane transport","4/92","33/22777",9.3235660300097e-06,0.000405420801644937,0.000224648755889835,"evm.model.ctg2975.5/evm.model.ctg3414.13/evm.model.ctg3544.528/evm.model.ctg3548.11",4
"GO:0001773","myeloid dendritic cell activation","5/92","70/22777",9.47736938910242e-06,0.000405420801644937,0.000224648755889835,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","5/92","71/22777",1.01630108259112e-05,0.000419224196568835,0.000232297390306541,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
"GO:0002367","cytokine production involved in immune response","7/92","190/22777",1.21203484794782e-05,0.000482724223924046,0.000267483552650554,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2/evm.model.ctg1606.76/evm.model.ctg1606.77",7
"GO:0010979","regulation of vitamin D 24-hydroxylase activity","3/92","12/22777",1.36645862238286e-05,0.000509116035113612,0.000282107586556461,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0010980","positive regulation of vitamin D 24-hydroxylase activity","3/92","12/22777",1.36645862238286e-05,0.000509116035113612,0.000282107586556461,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:1903538","regulation of meiotic cell cycle process involved in oocyte maturation","4/92","37/22777",1.48635742878005e-05,0.000536482134450298,0.000297271485756009,"evm.model.ctg2847.1/evm.model.ctg3299.4/evm.model.ctg144.15/evm.model.ctg3527.67",4
"GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","5/92","78/22777",1.61164188158641e-05,0.00056258811081071,0.000311737134994679,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2",5
