"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005499","vitamin D binding","3/79","10/20112",6.8622590754944e-06,0.000676351647234664,0.000282458067781067,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0015114","phosphate ion transmembrane transporter activity","4/79","33/20112",8.27328038335748e-06,0.000676351647234664,0.000282458067781067,"evm.model.ctg2975.5/evm.model.ctg3414.13/evm.model.ctg3544.528/evm.model.ctg3548.11",4
"GO:0032052","bile acid binding","3/79","12/20112",1.25096676350825e-05,0.000676351647234664,0.000282458067781067,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0022829","wide pore channel activity","4/79","38/20112",1.47032966790144e-05,0.000676351647234664,0.000282458067781067,"evm.model.ctg2809.6/evm.model.ctg340.3/evm.model.ctg3112.9/evm.model.ctg3751.31",4
"GO:0032453","histone H3K4 demethylase activity","3/79","22/20112",8.51218702438316e-05,0.0025658398602397,0.00107154639472253,"evm.model.ctg1345.27/evm.model.ctg3012.22/evm.model.ctg3932.7",3
"GO:0033293","monocarboxylic acid binding","5/79","116/20112",9.38685130118377e-05,0.0025658398602397,0.00107154639472253,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80/evm.model.ctg2642.52/evm.model.ctg396.1",5
"GO:0051864","histone H3K36 demethylase activity","3/79","23/20112",9.76134729439016e-05,0.0025658398602397,0.00107154639472253,"evm.model.ctg1345.27/evm.model.ctg3012.22/evm.model.ctg3932.7",3
"GO:0003725","double-stranded RNA binding","5/79","139/20112",0.000219358385802299,0.00504524287345289,0.00210699502152209,"evm.model.ctg164.2/evm.model.ctg4076.6/evm.model.ctg4127.2/evm.model.ctg1606.76/evm.model.ctg1606.77",5
"GO:0005525","GTP binding","8/79","432/20112",0.000292294622974634,0.00537899894240536,0.00224637827686265,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2/evm.model.ctg94.10/evm.model.ctg2857.43/evm.model.ctg4129.6",8
"GO:0004707","MAP kinase activity","3/79","33/20112",0.00029233689904377,0.00537899894240536,0.00224637827686265,"evm.model.ctg320.2/evm.model.ctg3749.10/evm.model.ctg3755.12",3
"GO:0032550","purine ribonucleoside binding","8/79","450/20112",0.000383901146339092,0.00602690738385399,0.00251695788913811,"evm.model.ctg2824.20/evm.model.ctg819.1/evm.model.ctg2916.19/evm.model.ctg3577.4/evm.model.ctg3883.2/evm.model.ctg94.10/evm.model.ctg2857.43/evm.model.ctg4129.6",8
