"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000792","heterochromatin","69/2663","222/22757",8.50409053939596e-15,5.48513839791039e-12,4.61011223977781e-12,"evm.model.ctg2019.75/evm.model.ctg2120.137/evm.model.ctg2120.34/evm.model.ctg2120.39/evm.model.ctg2120.42/evm.model.ctg2120.48/evm.model.ctg2120.62/evm.model.ctg2120.64/evm.model.ctg2120.74/evm.model.ctg2245.16/evm.model.ctg2245.23/evm.model.ctg2520.14/evm.model.ctg2679.12/evm.model.ctg2844.6/evm.model.ctg2857.24/evm.model.ctg2857.32/evm.model.ctg3142.23/evm.model.ctg3148.4/evm.model.ctg3161.1/evm.model.ctg3161.10/evm.model.ctg3161.19/evm.model.ctg3169.2/evm.model.ctg3214.2/evm.model.ctg3225.21/evm.model.ctg3287.18/evm.model.ctg3287.24/evm.model.ctg3560.24/evm.model.ctg3560.32/evm.model.ctg3560.41/evm.model.ctg3586.4/evm.model.ctg3587.87/evm.model.ctg3704.10/evm.model.ctg3978.14/evm.model.ctg3978.2/evm.model.ctg3978.20/evm.model.ctg3978.31/evm.model.ctg4129.10/evm.model.ctg4129.12/evm.model.ctg4129.30/evm.model.ctg439.4/evm.model.ctg439.9/evm.model.ctg485.3/evm.model.ctg751.3/evm.model.ctg751.7/evm.model.ctg94.15/evm.model.ctg940.3/evm.model.ctg1355.29/evm.model.ctg3226.3/evm.model.ctg3226.4/evm.model.ctg3646.25/evm.model.ctg585.4/evm.model.ctg1628.1/evm.model.ctg2597.3/evm.model.ctg3209.23/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg3644.1/evm.model.ctg3779.151/evm.model.ctg94.10/evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80/evm.model.ctg2857.43/evm.model.ctg4129.6/evm.model.ctg629.176/evm.model.ctg613.11/evm.model.ctg1312.1/evm.model.ctg3430.13",69
"GO:0000791","euchromatin","51/2663","147/22757",2.28335448134922e-13,7.36381820235123e-11,6.18909240997288e-11,"evm.model.ctg2019.75/evm.model.ctg2120.137/evm.model.ctg2120.39/evm.model.ctg2120.48/evm.model.ctg2120.62/evm.model.ctg2120.64/evm.model.ctg2120.74/evm.model.ctg2245.16/evm.model.ctg2245.23/evm.model.ctg2520.14/evm.model.ctg2679.12/evm.model.ctg2844.6/evm.model.ctg2857.24/evm.model.ctg3142.23/evm.model.ctg3148.4/evm.model.ctg3161.1/evm.model.ctg3161.10/evm.model.ctg3161.19/evm.model.ctg3169.2/evm.model.ctg3214.2/evm.model.ctg3225.21/evm.model.ctg3287.18/evm.model.ctg3287.24/evm.model.ctg3560.24/evm.model.ctg3560.32/evm.model.ctg3560.41/evm.model.ctg3586.4/evm.model.ctg3587.87/evm.model.ctg3704.10/evm.model.ctg3978.14/evm.model.ctg3978.2/evm.model.ctg3978.20/evm.model.ctg3978.31/evm.model.ctg4129.10/evm.model.ctg4129.12/evm.model.ctg4129.30/evm.model.ctg439.4/evm.model.ctg439.9/evm.model.ctg485.3/evm.model.ctg751.3/evm.model.ctg751.7/evm.model.ctg94.15/evm.model.ctg940.3/evm.model.ctg94.10/evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80/evm.model.ctg2857.43/evm.model.ctg3978.27/evm.model.ctg4129.6/evm.model.ctg613.11",51
"GO:0097268","cytoophidium","14/2663","18/22757",1.69206011552239e-10,3.63792924837314e-08,3.05758231401415e-08,"evm.model.ctg2471.1/evm.model.ctg2707.2/evm.model.ctg2789.4/evm.model.ctg2862.7/evm.model.ctg301.5/evm.model.ctg3058.15/evm.model.ctg3401.12/evm.model.ctg3832.8/evm.model.ctg3871.7/evm.model.ctg3935.4/evm.model.ctg4024.32/evm.model.ctg4065.58/evm.model.ctg526.3/evm.model.ctg717.1",14
"GO:0000786","nucleosome","56/2663","220/22757",1.17091923219228e-08,1.61197659419572e-06,1.35482324930362e-06,"evm.model.ctg2533.59/evm.model.ctg3335.24/evm.model.ctg3878.19/evm.model.ctg2019.75/evm.model.ctg2120.137/evm.model.ctg2120.39/evm.model.ctg2120.48/evm.model.ctg2120.62/evm.model.ctg2120.64/evm.model.ctg2120.74/evm.model.ctg2245.16/evm.model.ctg2245.23/evm.model.ctg2520.14/evm.model.ctg2679.12/evm.model.ctg2844.6/evm.model.ctg2857.24/evm.model.ctg2857.32/evm.model.ctg3142.23/evm.model.ctg3148.4/evm.model.ctg3161.1/evm.model.ctg3161.10/evm.model.ctg3161.19/evm.model.ctg3169.2/evm.model.ctg3214.2/evm.model.ctg3225.21/evm.model.ctg3287.18/evm.model.ctg3287.24/evm.model.ctg3560.24/evm.model.ctg3560.32/evm.model.ctg3560.41/evm.model.ctg3586.4/evm.model.ctg3587.87/evm.model.ctg3704.10/evm.model.ctg3978.14/evm.model.ctg3978.2/evm.model.ctg3978.20/evm.model.ctg3978.31/evm.model.ctg4129.10/evm.model.ctg4129.12/evm.model.ctg4129.30/evm.model.ctg439.4/evm.model.ctg439.9/evm.model.ctg485.3/evm.model.ctg751.3/evm.model.ctg751.7/evm.model.ctg94.15/evm.model.ctg940.3/evm.model.ctg1628.1/evm.model.ctg2597.3/evm.model.ctg3209.23/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg94.10/evm.model.ctg2857.43/evm.model.ctg4129.6",56
"GO:0030992","intraciliary transport particle B","19/2663","39/22757",1.24959425906645e-08,1.61197659419572e-06,1.35482324930362e-06,"evm.model.ctg3136.2/evm.model.ctg3136.4/evm.model.ctg3175.1/evm.model.ctg3224.21/evm.model.ctg3224.23/evm.model.ctg3672.7/evm.model.ctg3672.9/evm.model.ctg3963.2/evm.model.ctg3963.4/evm.model.ctg3963.6/evm.model.ctg2508.4/evm.model.ctg3200.3/evm.model.ctg3456.9/evm.model.ctg2963.3/evm.model.ctg3850.3/evm.model.ctg3909.16/evm.model.ctg814.7/evm.model.ctg2813.9/evm.model.ctg2816.30",19
"GO:0044815","DNA packaging complex","66/2663","287/22757",4.63237520880013e-08,3.87602615497396e-06,3.2576964011613e-06,"evm.model.ctg2533.59/evm.model.ctg3335.24/evm.model.ctg3878.19/evm.model.ctg2019.75/evm.model.ctg2120.137/evm.model.ctg2120.39/evm.model.ctg2120.48/evm.model.ctg2120.62/evm.model.ctg2120.64/evm.model.ctg2120.74/evm.model.ctg2245.16/evm.model.ctg2245.23/evm.model.ctg2520.14/evm.model.ctg2679.12/evm.model.ctg2844.6/evm.model.ctg2857.24/evm.model.ctg2857.32/evm.model.ctg3142.23/evm.model.ctg3148.4/evm.model.ctg3161.1/evm.model.ctg3161.10/evm.model.ctg3161.19/evm.model.ctg3169.2/evm.model.ctg3214.2/evm.model.ctg3225.21/evm.model.ctg3287.18/evm.model.ctg3287.24/evm.model.ctg3560.24/evm.model.ctg3560.32/evm.model.ctg3560.41/evm.model.ctg3586.4/evm.model.ctg3587.87/evm.model.ctg3704.10/evm.model.ctg3978.14/evm.model.ctg3978.2/evm.model.ctg3978.20/evm.model.ctg3978.31/evm.model.ctg4129.10/evm.model.ctg4129.12/evm.model.ctg4129.30/evm.model.ctg439.4/evm.model.ctg439.9/evm.model.ctg485.3/evm.model.ctg751.3/evm.model.ctg751.7/evm.model.ctg94.15/evm.model.ctg940.3/evm.model.ctg175.4/evm.model.ctg175.5/evm.model.ctg3899.36/evm.model.ctg3899.37/evm.model.ctg3899.38/evm.model.ctg1628.1/evm.model.ctg2597.3/evm.model.ctg3209.23/evm.model.ctg2704.123/evm.model.ctg3654.5/evm.model.ctg3656.88/evm.model.ctg2855.8/evm.model.ctg973.7/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg94.10/evm.model.ctg2857.43/evm.model.ctg4129.6",66
"GO:0008622","epsilon DNA polymerase complex","11/2663","15/22757",4.8074743007429e-08,3.87602615497396e-06,3.2576964011613e-06,"evm.model.ctg1345.21/evm.model.ctg3196.3/evm.model.ctg3218.1/evm.model.ctg3890.43/evm.model.ctg3985.20/evm.model.ctg1220.2/evm.model.ctg3129.56/evm.model.ctg3528.44/evm.model.ctg1345.20/evm.model.ctg3196.4/evm.model.ctg3985.19",11
"GO:0032002","interleukin-28 receptor complex","11/2663","15/22757",4.8074743007429e-08,3.87602615497396e-06,3.2576964011613e-06,"evm.model.ctg2972.34/evm.model.ctg2972.35/evm.model.ctg2978.11/evm.model.ctg2990.12/evm.model.ctg2990.13/evm.model.ctg2990.14/evm.model.ctg3913.7/evm.model.ctg3913.8/evm.model.ctg3913.9/evm.model.ctg737.1/evm.model.ctg737.2",11
"GO:0043203","axon hillock","13/2663","21/22757",6.13305959205989e-08,4.39535937430959e-06,3.69418209346298e-06,"evm.model.ctg1633.11/evm.model.ctg3202.9/evm.model.ctg3462.26/evm.model.ctg3462.28/evm.model.ctg3932.3/evm.model.ctg4008.3/evm.model.ctg3998.40/evm.model.ctg3872.4/evm.model.ctg3598.7/evm.model.ctg3600.346/evm.model.ctg2683.35/evm.model.ctg2847.1/evm.model.ctg3299.4",13
"GO:0035577","azurophil granule membrane","32/2663","101/22757",7.53619155847065e-08,4.86084355521357e-06,4.08540910801304e-06,"evm.model.ctg2775.8/evm.model.ctg2775.9/evm.model.ctg2778.4/evm.model.ctg2778.5/evm.model.ctg2778.6/evm.model.ctg2778.9/evm.model.ctg2779.1/evm.model.ctg2779.2/evm.model.ctg2779.5/evm.model.ctg2804.1/evm.model.ctg319.1/evm.model.ctg3684.16/evm.model.ctg3684.18/evm.model.ctg3684.19/evm.model.ctg3684.21/evm.model.ctg3684.22/evm.model.ctg3684.23/evm.model.ctg3684.24/evm.model.ctg3684.25/evm.model.ctg3684.26/evm.model.ctg1575.2/evm.model.ctg2932.8/evm.model.ctg3886.43/evm.model.ctg3891.44/evm.model.ctg4101.10/evm.model.ctg2993.30/evm.model.ctg2993.31/evm.model.ctg3031.3/evm.model.ctg3042.5/evm.model.ctg3401.65/evm.model.ctg2583.57/evm.model.ctg2583.58",32
