"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903901","negative regulation of viral life cycle","9/80","244/22777",1.91871101872123e-07,0.000176521413722353,9.61375205169797e-05,"evm.model.ctg176.1/evm.model.ctg176.3/evm.model.ctg3143.26/evm.model.ctg3143.29/evm.model.ctg3765.15/evm.model.ctg3765.16/evm.model.ctg1251.3/evm.model.ctg2857.49/evm.model.ctg3145.2",9
"GO:0048525","negative regulation of viral process","9/80","272/22777",4.78750012253143e-07,0.000220225005636446,0.000119939476753945,"evm.model.ctg176.1/evm.model.ctg176.3/evm.model.ctg3143.26/evm.model.ctg3143.29/evm.model.ctg3765.15/evm.model.ctg3765.16/evm.model.ctg1251.3/evm.model.ctg2857.49/evm.model.ctg3145.2",9
"GO:0043327","chemotaxis to cAMP","3/80","10/22777",4.91863899894571e-06,0.000702136664615346,0.000382399373406069,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0070781","response to biotin","3/80","10/22777",4.91863899894571e-06,0.000702136664615346,0.000382399373406069,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:1903519","regulation of mammary gland involution","3/80","10/22777",4.91863899894571e-06,0.000702136664615346,0.000382399373406069,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:1903521","positive regulation of mammary gland involution","3/80","10/22777",4.91863899894571e-06,0.000702136664615346,0.000382399373406069,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0035435","phosphate ion transmembrane transport","4/80","33/22777",5.34234418729067e-06,0.000702136664615346,0.000382399373406069,"evm.model.ctg2975.5/evm.model.ctg3414.13/evm.model.ctg3544.528/evm.model.ctg3548.11",4
"GO:1903900","regulation of viral life cycle","9/80","375/22777",6.68764906579661e-06,0.000729047738575697,0.000397055747782645,"evm.model.ctg176.1/evm.model.ctg176.3/evm.model.ctg3143.26/evm.model.ctg3143.29/evm.model.ctg3765.15/evm.model.ctg3765.16/evm.model.ctg1251.3/evm.model.ctg2857.49/evm.model.ctg3145.2",9
"GO:1903538","regulation of meiotic cell cycle process involved in oocyte maturation","4/80","37/22777",8.5310565650366e-06,0.000729047738575697,0.000397055747782645,"evm.model.ctg2847.1/evm.model.ctg3299.4/evm.model.ctg144.15/evm.model.ctg3527.67",4
"GO:0010979","regulation of vitamin D 24-hydroxylase activity","3/80","12/22777",8.97187599662074e-06,0.000729047738575697,0.000397055747782645,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0010980","positive regulation of vitamin D 24-hydroxylase activity","3/80","12/22777",8.97187599662074e-06,0.000729047738575697,0.000397055747782645,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:1903537","meiotic cell cycle process involved in oocyte maturation","4/80","38/22777",9.50931832924823e-06,0.000729047738575697,0.000397055747782645,"evm.model.ctg2847.1/evm.model.ctg3299.4/evm.model.ctg144.15/evm.model.ctg3527.67",4
"GO:1902339","positive regulation of apoptotic process involved in morphogenesis","3/80","14/22777",1.47692840048776e-05,0.00104521086803749,0.000569245278244673,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:0060745","mammary gland branching involved in pregnancy","3/80","15/22777",1.84148598372538e-05,0.00115549681528413,0.000629309478346961,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80",3
"GO:1900195","positive regulation of oocyte maturation","4/80","45/22777",1.88396219883281e-05,0.00115549681528413,0.000629309478346961,"evm.model.ctg2847.1/evm.model.ctg3299.4/evm.model.ctg144.15/evm.model.ctg3527.67",4
"GO:0051353","positive regulation of oxidoreductase activity","5/80","96/22777",2.24195771959793e-05,0.00122344110169627,0.000666313460420394,"evm.model.ctg175.43/evm.model.ctg3011.7/evm.model.ctg3899.80/evm.model.ctg2237.234/evm.model.ctg2237.243",5
"GO:0035677","posterior lateral line neuromast hair cell development","3/80","16/22777",2.2607063835692e-05,0.00122344110169627,0.000666313460420394,"evm.model.ctg2625.16/evm.model.ctg3384.10/evm.model.ctg3385.4",3
"GO:0050792","regulation of viral process","9/80","443/22777",2.51098413603305e-05,0.00128339189175023,0.000698964005117972,"evm.model.ctg176.1/evm.model.ctg176.3/evm.model.ctg3143.26/evm.model.ctg3143.29/evm.model.ctg3765.15/evm.model.ctg3765.16/evm.model.ctg1251.3/evm.model.ctg2857.49/evm.model.ctg3145.2",9
"GO:0048923","posterior lateral line neuromast hair cell differentiation","3/80","17/22777",2.738194595865e-05,0.00132586264641884,0.000722094530543902,"evm.model.ctg2625.16/evm.model.ctg3384.10/evm.model.ctg3385.4",3
"GO:0006817","phosphate ion transport","4/80","51/22777",3.10973782490441e-05,0.00143047939945603,0.000779071160344474,"evm.model.ctg2975.5/evm.model.ctg3414.13/evm.model.ctg3544.528/evm.model.ctg3548.11",4
"GO:0035675","neuromast hair cell development","3/80","18/22777",3.2775171120677e-05,0.00143586463957252,0.000782004082879312,"evm.model.ctg2625.16/evm.model.ctg3384.10/evm.model.ctg3385.4",3
