ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ko03082	ATP-dependent chromatin remodeling	87/1948	187/16222	5.77601113223085e-32	5.77601113223085e-32	1.85440357403201e-29	evm.model.ctg1687.1/evm.model.ctg1687.10/evm.model.ctg1687.4/evm.model.ctg2120.131/evm.model.ctg2120.133/evm.model.ctg2120.35/evm.model.ctg2120.49/evm.model.ctg2120.56/evm.model.ctg2120.61/evm.model.ctg2120.65/evm.model.ctg2120.73/evm.model.ctg2120.77/evm.model.ctg2120.79/evm.model.ctg2245.10/evm.model.ctg2245.13/evm.model.ctg2245.15/evm.model.ctg2245.20/evm.model.ctg2245.4/evm.model.ctg2520.13/evm.model.ctg2520.15/evm.model.ctg2520.3/evm.model.ctg2520.9/evm.model.ctg2844.5/evm.model.ctg2844.7/evm.model.ctg2857.21/evm.model.ctg2857.23/evm.model.ctg2857.33/evm.model.ctg2857.44/evm.model.ctg3154.11/evm.model.ctg3154.14/evm.model.ctg3154.6/evm.model.ctg3161.11/evm.model.ctg3161.18/evm.model.ctg3161.2/evm.model.ctg3169.3/evm.model.ctg3209.6/evm.model.ctg3214.3/evm.model.ctg3214.7/evm.model.ctg3225.11/evm.model.ctg3225.17/evm.model.ctg3225.22/evm.model.ctg3225.25/evm.model.ctg3225.30/evm.model.ctg3225.33/evm.model.ctg3225.5/evm.model.ctg3225.7/evm.model.ctg3287.13/evm.model.ctg3287.16/evm.model.ctg3287.19/evm.model.ctg3287.25/evm.model.ctg3560.20/evm.model.ctg3560.25/evm.model.ctg3560.31/evm.model.ctg3560.40/evm.model.ctg3704.7/evm.model.ctg3735.2/evm.model.ctg3754.5/evm.model.ctg3878.19/evm.model.ctg397.304/evm.model.ctg3978.13/evm.model.ctg3978.18/evm.model.ctg3978.3/evm.model.ctg3978.30/evm.model.ctg3978.8/evm.model.ctg4129.2/evm.model.ctg4129.5/evm.model.ctg4129.9/evm.model.ctg430.11/evm.model.ctg439.3/evm.model.ctg439.8/evm.model.ctg485.2/evm.model.ctg557.18/evm.model.ctg62.4/evm.model.ctg62.7/evm.model.ctg751.2/evm.model.ctg94.13/evm.model.ctg94.3/evm.model.ctg94.5/evm.model.ctg94.9/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg3214.5/evm.model.ctg3978.19/evm.model.ctg4129.11/evm.model.ctg2879.3/evm.model.ctg613.11	87
ko04217	Necroptosis	97/1948	278/16222	1.10981601754302e-23	1.10981601754302e-23	1.78154676500326e-21	evm.model.ctg1687.1/evm.model.ctg1687.10/evm.model.ctg1687.4/evm.model.ctg2120.131/evm.model.ctg2120.133/evm.model.ctg2120.35/evm.model.ctg2120.49/evm.model.ctg2120.56/evm.model.ctg2120.61/evm.model.ctg2120.65/evm.model.ctg2120.73/evm.model.ctg2120.77/evm.model.ctg2120.79/evm.model.ctg2245.10/evm.model.ctg2245.13/evm.model.ctg2245.15/evm.model.ctg2245.20/evm.model.ctg2245.4/evm.model.ctg2520.13/evm.model.ctg2520.15/evm.model.ctg2520.3/evm.model.ctg2520.9/evm.model.ctg2844.5/evm.model.ctg2844.7/evm.model.ctg2857.21/evm.model.ctg2857.23/evm.model.ctg2857.33/evm.model.ctg2857.44/evm.model.ctg3154.11/evm.model.ctg3154.14/evm.model.ctg3154.6/evm.model.ctg3161.11/evm.model.ctg3161.18/evm.model.ctg3161.2/evm.model.ctg3169.3/evm.model.ctg3209.6/evm.model.ctg3214.3/evm.model.ctg3214.7/evm.model.ctg3225.11/evm.model.ctg3225.17/evm.model.ctg3225.22/evm.model.ctg3225.25/evm.model.ctg3225.30/evm.model.ctg3225.33/evm.model.ctg3225.5/evm.model.ctg3225.7/evm.model.ctg3287.13/evm.model.ctg3287.16/evm.model.ctg3287.19/evm.model.ctg3287.25/evm.model.ctg3560.20/evm.model.ctg3560.25/evm.model.ctg3560.31/evm.model.ctg3560.40/evm.model.ctg3704.7/evm.model.ctg3735.2/evm.model.ctg3754.5/evm.model.ctg3878.19/evm.model.ctg397.304/evm.model.ctg3978.13/evm.model.ctg3978.18/evm.model.ctg3978.3/evm.model.ctg3978.30/evm.model.ctg3978.8/evm.model.ctg4129.2/evm.model.ctg4129.5/evm.model.ctg4129.9/evm.model.ctg430.11/evm.model.ctg439.3/evm.model.ctg439.8/evm.model.ctg485.2/evm.model.ctg557.18/evm.model.ctg62.4/evm.model.ctg62.7/evm.model.ctg751.2/evm.model.ctg94.13/evm.model.ctg94.3/evm.model.ctg94.5/evm.model.ctg94.9/evm.model.ctg4075.23/evm.model.ctg4075.24/evm.model.ctg4087.15/evm.model.ctg4087.16/evm.model.ctg4130.11/evm.model.ctg4130.12/evm.model.ctg3029.2/evm.model.ctg3717.3/evm.model.ctg3937.3/evm.model.ctg4088.7/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg3214.5/evm.model.ctg3978.19/evm.model.ctg4129.11/evm.model.ctg3494.27/evm.model.ctg2810.14	97
ko04613	Neutrophil extracellular trap formation	93/1948	315/16222	3.41085024795695e-17	3.41085024795695e-17	3.65020816009428e-15	evm.model.ctg1687.1/evm.model.ctg1687.10/evm.model.ctg1687.4/evm.model.ctg2120.131/evm.model.ctg2120.133/evm.model.ctg2120.35/evm.model.ctg2120.49/evm.model.ctg2120.56/evm.model.ctg2120.61/evm.model.ctg2120.65/evm.model.ctg2120.73/evm.model.ctg2120.77/evm.model.ctg2120.79/evm.model.ctg2245.10/evm.model.ctg2245.13/evm.model.ctg2245.15/evm.model.ctg2245.20/evm.model.ctg2245.4/evm.model.ctg2520.13/evm.model.ctg2520.15/evm.model.ctg2520.3/evm.model.ctg2520.9/evm.model.ctg2844.5/evm.model.ctg2844.7/evm.model.ctg2857.21/evm.model.ctg2857.23/evm.model.ctg2857.33/evm.model.ctg2857.44/evm.model.ctg3154.11/evm.model.ctg3154.14/evm.model.ctg3154.6/evm.model.ctg3161.11/evm.model.ctg3161.18/evm.model.ctg3161.2/evm.model.ctg3169.3/evm.model.ctg3209.6/evm.model.ctg3214.3/evm.model.ctg3214.7/evm.model.ctg3225.11/evm.model.ctg3225.17/evm.model.ctg3225.22/evm.model.ctg3225.25/evm.model.ctg3225.30/evm.model.ctg3225.33/evm.model.ctg3225.5/evm.model.ctg3225.7/evm.model.ctg3287.13/evm.model.ctg3287.16/evm.model.ctg3287.19/evm.model.ctg3287.25/evm.model.ctg3560.20/evm.model.ctg3560.25/evm.model.ctg3560.31/evm.model.ctg3560.40/evm.model.ctg3704.7/evm.model.ctg3735.2/evm.model.ctg3754.5/evm.model.ctg3878.19/evm.model.ctg397.304/evm.model.ctg3978.13/evm.model.ctg3978.18/evm.model.ctg3978.3/evm.model.ctg3978.30/evm.model.ctg3978.8/evm.model.ctg4129.2/evm.model.ctg4129.5/evm.model.ctg4129.9/evm.model.ctg430.11/evm.model.ctg439.3/evm.model.ctg439.8/evm.model.ctg485.2/evm.model.ctg557.18/evm.model.ctg62.4/evm.model.ctg62.7/evm.model.ctg751.2/evm.model.ctg94.13/evm.model.ctg94.3/evm.model.ctg94.5/evm.model.ctg94.9/evm.model.ctg2630.5/evm.model.ctg2737.3/evm.model.ctg3325.5/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg2724.16/evm.model.ctg4081.24/evm.model.ctg3407.23/evm.model.ctg3214.5/evm.model.ctg2719.8/evm.model.ctg3978.19/evm.model.ctg4129.11/evm.model.ctg2810.14	93
ko05034	Alcoholism	89/1948	296/16222	4.69127639112635e-17	4.69127639112635e-17	3.76536657708826e-15	evm.model.ctg1687.1/evm.model.ctg1687.10/evm.model.ctg1687.4/evm.model.ctg2120.131/evm.model.ctg2120.133/evm.model.ctg2120.35/evm.model.ctg2120.49/evm.model.ctg2120.56/evm.model.ctg2120.61/evm.model.ctg2120.65/evm.model.ctg2120.73/evm.model.ctg2120.77/evm.model.ctg2120.79/evm.model.ctg2245.10/evm.model.ctg2245.13/evm.model.ctg2245.15/evm.model.ctg2245.20/evm.model.ctg2245.4/evm.model.ctg2520.13/evm.model.ctg2520.15/evm.model.ctg2520.3/evm.model.ctg2520.9/evm.model.ctg2844.5/evm.model.ctg2844.7/evm.model.ctg2857.21/evm.model.ctg2857.23/evm.model.ctg2857.33/evm.model.ctg2857.44/evm.model.ctg3154.11/evm.model.ctg3154.14/evm.model.ctg3154.6/evm.model.ctg3161.11/evm.model.ctg3161.18/evm.model.ctg3161.2/evm.model.ctg3169.3/evm.model.ctg3209.6/evm.model.ctg3214.3/evm.model.ctg3214.7/evm.model.ctg3225.11/evm.model.ctg3225.17/evm.model.ctg3225.22/evm.model.ctg3225.25/evm.model.ctg3225.30/evm.model.ctg3225.33/evm.model.ctg3225.5/evm.model.ctg3225.7/evm.model.ctg3287.13/evm.model.ctg3287.16/evm.model.ctg3287.19/evm.model.ctg3287.25/evm.model.ctg3560.20/evm.model.ctg3560.25/evm.model.ctg3560.31/evm.model.ctg3560.40/evm.model.ctg3704.7/evm.model.ctg3735.2/evm.model.ctg3754.5/evm.model.ctg3878.19/evm.model.ctg397.304/evm.model.ctg3978.13/evm.model.ctg3978.18/evm.model.ctg3978.3/evm.model.ctg3978.30/evm.model.ctg3978.8/evm.model.ctg4129.2/evm.model.ctg4129.5/evm.model.ctg4129.9/evm.model.ctg430.11/evm.model.ctg439.3/evm.model.ctg439.8/evm.model.ctg485.2/evm.model.ctg557.18/evm.model.ctg62.4/evm.model.ctg62.7/evm.model.ctg751.2/evm.model.ctg94.13/evm.model.ctg94.3/evm.model.ctg94.5/evm.model.ctg94.9/evm.model.ctg134.3/evm.model.ctg2866.52/evm.model.ctg509.1/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg3214.5/evm.model.ctg3280.235/evm.model.ctg3978.19/evm.model.ctg4129.11	89
ko05322	Systemic lupus erythematosus	86/1948	315/16222	8.03991505500677e-14	8.03991505500677e-14	5.16247177216224e-12	evm.model.ctg1687.1/evm.model.ctg1687.10/evm.model.ctg1687.4/evm.model.ctg2120.131/evm.model.ctg2120.133/evm.model.ctg2120.35/evm.model.ctg2120.49/evm.model.ctg2120.56/evm.model.ctg2120.61/evm.model.ctg2120.65/evm.model.ctg2120.73/evm.model.ctg2120.77/evm.model.ctg2120.79/evm.model.ctg2245.10/evm.model.ctg2245.13/evm.model.ctg2245.15/evm.model.ctg2245.20/evm.model.ctg2245.4/evm.model.ctg2520.13/evm.model.ctg2520.15/evm.model.ctg2520.3/evm.model.ctg2520.9/evm.model.ctg2844.5/evm.model.ctg2844.7/evm.model.ctg2857.21/evm.model.ctg2857.23/evm.model.ctg2857.33/evm.model.ctg2857.44/evm.model.ctg3154.11/evm.model.ctg3154.14/evm.model.ctg3154.6/evm.model.ctg3161.11/evm.model.ctg3161.18/evm.model.ctg3161.2/evm.model.ctg3169.3/evm.model.ctg3209.6/evm.model.ctg3214.3/evm.model.ctg3214.7/evm.model.ctg3225.11/evm.model.ctg3225.17/evm.model.ctg3225.22/evm.model.ctg3225.25/evm.model.ctg3225.30/evm.model.ctg3225.33/evm.model.ctg3225.5/evm.model.ctg3225.7/evm.model.ctg3287.13/evm.model.ctg3287.16/evm.model.ctg3287.19/evm.model.ctg3287.25/evm.model.ctg3560.20/evm.model.ctg3560.25/evm.model.ctg3560.31/evm.model.ctg3560.40/evm.model.ctg3704.7/evm.model.ctg3735.2/evm.model.ctg3754.5/evm.model.ctg3878.19/evm.model.ctg397.304/evm.model.ctg3978.13/evm.model.ctg3978.18/evm.model.ctg3978.3/evm.model.ctg3978.30/evm.model.ctg3978.8/evm.model.ctg4129.2/evm.model.ctg4129.5/evm.model.ctg4129.9/evm.model.ctg430.11/evm.model.ctg439.3/evm.model.ctg439.8/evm.model.ctg485.2/evm.model.ctg557.18/evm.model.ctg62.4/evm.model.ctg62.7/evm.model.ctg751.2/evm.model.ctg94.13/evm.model.ctg94.3/evm.model.ctg94.5/evm.model.ctg94.9/evm.model.ctg2475.52/evm.model.ctg2773.21/evm.model.ctg4021.45/evm.model.ctg3214.5/evm.model.ctg2719.8/evm.model.ctg3978.19/evm.model.ctg4129.11	86
ko03009	Ribosome biogenesis	72/1948	303/16222	7.10949209340347e-09	7.10949209340347e-09	3.80420190962817e-07	evm.model.ctg1245.147/evm.model.ctg1918.76/evm.model.ctg2542.22/evm.model.ctg2607.100/evm.model.ctg2607.101/evm.model.ctg2607.102/evm.model.ctg2607.103/evm.model.ctg2607.182/evm.model.ctg2607.183/evm.model.ctg2607.97/evm.model.ctg2607.98/evm.model.ctg2607.99/evm.model.ctg397.307/evm.model.ctg2723.4/evm.model.ctg1245.68/evm.model.ctg1245.69/evm.model.ctg1245.70/evm.model.ctg1245.71/evm.model.ctg236.86/evm.model.ctg231.8/evm.model.ctg3102.89/evm.model.ctg4038.7/evm.model.ctg3782.11/evm.model.ctg3782.12/evm.model.ctg3787.27/evm.model.ctg3948.48/evm.model.ctg3782.5/evm.model.ctg3787.35/evm.model.ctg3948.37/evm.model.ctg3018.62/evm.model.ctg3018.63/evm.model.ctg3195.23/evm.model.ctg3195.24/evm.model.ctg3669.33/evm.model.ctg2943.18/evm.model.ctg4059.5/evm.model.ctg643.16/evm.model.ctg3079.18/evm.model.ctg3081.5/evm.model.ctg4.5/evm.model.ctg3356.6/evm.model.ctg77.31/evm.model.ctg1654.5/evm.model.ctg235.3/evm.model.ctg2732.4/evm.model.ctg2653.4/evm.model.ctg2686.246/evm.model.ctg634.2/evm.model.ctg946.4/evm.model.ctg2620.55/evm.model.ctg3348.1/evm.model.ctg42.1/evm.model.ctg2340.100/evm.model.ctg2676.17/evm.model.ctg3284.11/evm.model.ctg4114.16/evm.model.ctg2583.85/evm.model.ctg3878.137/evm.model.ctg2683.299/evm.model.ctg3461.46/evm.model.ctg2620.61/evm.model.ctg42.7/evm.model.ctg3174.8/evm.model.ctg4030.94/evm.model.ctg1863.11/evm.model.ctg3448.76/evm.model.ctg3520.20/evm.model.ctg1345.27/evm.model.ctg3012.22/evm.model.ctg3932.7/evm.model.ctg3948.38/evm.model.ctg2564.77	72
ko04950	Maturity onset diabetes of the young	18/1948	38/16222	7.76421719392756e-08	7.76421719392756e-08	3.56103194608708e-06	evm.model.ctg1311.8/evm.model.ctg2992.19/evm.model.ctg2993.22/evm.model.ctg3215.8/evm.model.ctg3596.7/evm.model.ctg3636.26/evm.model.ctg3741.4/evm.model.ctg3791.2/evm.model.ctg396.4/evm.model.ctg3965.5/evm.model.ctg4065.99/evm.model.ctg4107.8/evm.model.ctg525.5/evm.model.ctg530.4/evm.model.ctg7.21/evm.model.ctg7.22/evm.model.ctg2608.3/evm.model.ctg3280.400	18
ko03051	Proteasome	33/1948	112/16222	5.66684152558525e-07	5.66684152558525e-07	2.2741929806625e-05	evm.model.ctg1245.147/evm.model.ctg1918.76/evm.model.ctg2542.22/evm.model.ctg2607.100/evm.model.ctg2607.101/evm.model.ctg2607.102/evm.model.ctg2607.103/evm.model.ctg2607.182/evm.model.ctg2607.183/evm.model.ctg2607.97/evm.model.ctg2607.98/evm.model.ctg2607.99/evm.model.ctg397.307/evm.model.ctg2489.93/evm.model.ctg2489.94/evm.model.ctg2489.98/evm.model.ctg3445.3/evm.model.ctg3595.2/evm.model.ctg3614.960/evm.model.ctg2741.3/evm.model.ctg3526.6/evm.model.ctg3637.10/evm.model.ctg162.13/evm.model.ctg3928.86/evm.model.ctg3928.88/evm.model.ctg1045.7/evm.model.ctg3134.17/evm.model.ctg3448.346/evm.model.ctg3782.13/evm.model.ctg3787.23/evm.model.ctg3948.50/evm.model.ctg2748.340/evm.model.ctg4133.27	33
ko03420	Nucleotide excision repair	25/1948	76/16222	1.40939426661317e-06	1.40939426661317e-06	5.02766375809378e-05	evm.model.ctg1345.21/evm.model.ctg3196.3/evm.model.ctg3218.1/evm.model.ctg3890.43/evm.model.ctg3985.20/evm.model.ctg3144.5/evm.model.ctg3144.6/evm.model.ctg3631.13/evm.model.ctg3631.14/evm.model.ctg4108.3/evm.model.ctg4108.4/evm.model.ctg3236.2/evm.model.ctg3243.6/evm.model.ctg3244.9/evm.model.ctg4019.7/evm.model.ctg2757.10/evm.model.ctg3377.21/evm.model.ctg3710.7/evm.model.ctg1718.14/evm.model.ctg3242.8/evm.model.ctg3951.26/evm.model.ctg1345.20/evm.model.ctg3196.4/evm.model.ctg3985.19/evm.model.ctg1188.14	25
ko00860	Porphyrin metabolism	15/1948	37/16222	1.0381545865932e-05	1.0381545865932e-05	0.000333302262011502	evm.model.ctg2566.8/evm.model.ctg3086.12/evm.model.ctg3086.13/evm.model.ctg3092.15/evm.model.ctg3361.22/evm.model.ctg95.3/evm.model.ctg2899.3/evm.model.ctg324.7/evm.model.ctg3645.3/evm.model.ctg1374.2/evm.model.ctg140.1/evm.model.ctg3047.18/evm.model.ctg2658.12/evm.model.ctg341.17/evm.model.ctg3504.8	15
